precinct_id,year,perc_lib,proposed_turbine,log_pop,log_pop_denc,log_median_inc,log_home_val,avg_home_val,unemploy_rate,p_uni_degree,p_immigrant,p_housing_own
55.221.55.123.,2003,0.18782,0,6.281037104,2.920130615,10.17530439,11.973481,158495.4237,3.010191383,0.12044634,0.096584096,0.901250917
55.221.55.123.,2007,0.211618257,0,6.37559836,3.14296551,10.23700605,12.42231357,248280.286,5.559094444,0.100184192,0.118561847,0.899260755
55.221.55.123.,2011,0.14159292,1,6.407969378,3.175336527,10.23641604,12.5581887,284414.711,3.065761095,0.12232551,0.084196882,0.869958437
55.222.55.162.,2003,0.16393,0,5.63958898,4.692186059,10.16583131,12.14223851,187632.1188,2.403458622,0.19416998,0.150293438,0.869917551
55.222.55.162.,2007,0.248677249,0,5.799331692,5.020312821,10.36769648,12.57699323,289813.5993,0.004242865,0.270601774,0.15537607,0.934843733
55.222.55.162.,2011,0.243697479,0,5.862487561,4.962669732,10.55041132,12.66849176,317582.1369,4.798436085,0.27814919,0.098998703,0.894125696
55.223.55.163.,2003,0.16393,0,3.808652875,2.861249954,10.22895051,12.07782344,175926.8278,3.092943356,0.099191952,0.161489448,0.562381586
55.223.55.163.,2007,0.272727273,0,3.912154172,5.468288649,10.36261886,12.4433796,253566.044,3.029148472,0.183449016,0.070132352,0.582089815
55.223.55.163.,2011,0.256704981,0,3.787158012,3.673303445,10.352596,12.78432617,356584.3779,8.762910957,0.22314393799999999,0.073608099,0.619886297
55.224.55.185.,2003,0.14286,0,5.7323728,2.872788657,10.23336874,12.14570829,188284.2927,3.367058808,0.102457766,0.14049012,0.685554956
55.224.55.185.,2007,0.228571429,0,5.82990416,4.577157825,10.32008337,12.56852832,287370.7066,2.441769445,0.178350657,0.092343678,0.682361295
55.224.55.185.,2011,0.180904523,0,5.747207312,4.494461208,10.31212047,12.82230397,370387.1056,5.624212939,0.192234944,0.091151519,0.65576178
55.225.55.164.,2003,0.2,0,7.018934798,5.051840132,10.10000102,12.32023405,224186.6057,5.850787363,0.282303427,0.155781271,0.954845966
55.225.55.164.,2007,0.298387097,0,7.072526203,5.28791623,10.29108778,12.69532434,326219.042,6.653826643,0.397733176,0.163112897,0.941519043
55.225.55.164.,2011,0.284153005,0,7.04870265,5.264092677,10.4650956,13.03344131,457458.4374,6.905321591,0.383403728,0.124757864,0.93584427
55.226.55.182.,2003,0.2511,0,5.204401694,5.102791861,10.41758914,12.22638235,204103.4695,4.099595846,0.263149186,0.157481574,0.956504651
55.226.55.182.,2007,0.382857143,0,5.216561029,6.197810797,10.64120663,12.56641462,286763.9326,0.004100798,0.542262735,0.215963848,0.956532461
55.226.55.182.,2011,0.328125,0,5.174472444,6.041211599,10.52498234,13.21540541,548753.9324,11.29381801,0.285759507,0.199965477,0.960778972
55.227.55.183.,2003,0.38519,0,6.505459221,7.142728168,10.26585544,12.13926234,187074.5238,3.756250073,0.26661885,0.113225452,0.950571094
55.227.55.183.,2007,0.449494949,0,6.751577463,6.916631086,10.41797379,12.52082814,273984.8622,5.235867459,0.289689975,0.196571897,0.99982553
55.227.55.183.,2011,0.335227273,0,6.922649155,7.087702778,10.37662147,12.6787574,320859.1112,6.638782556,0.353126438,0.159428724,0.947065693
55.228.55.180.,2003,0.38519,0,6.305996783,7.04107285,10.39035238,12.14414377,187989.9469,4.636225887,0.229207788,0.171990694,0.918630818
55.228.55.180.,2007,0.324074074,0,6.275980819,7.929311175,10.51929965,12.39488205,241562.1453,5.952395133,0.252175429,0.184407271,0.972303193
55.228.55.180.,2011,0.329608939,0,6.22245795,7.875788305,10.83357776,12.5661428,286685.9938,0.016666819,0.556509036,0.106639846,0.992303896
55.229s.55.715.,2003,0.27442,0,2.010595732,3.119696556,10.28166887,12.12252116,183968.7462,4.275568931,0.253962639,0.102121532,0.979587487
55.229s.55.715.,2007,0.424242424,0,2.383060081,6.72770446,10.40979217,12.51269651,271765.9548,3.788213408,0.245872605,0.207710439,1
55.229s.55.715.,2011,0.272727273,0,2.628663974,6.973308353,10.31183015,12.66907536,317767.5299,8.81396044,0.33406595,0.155860193,0.951153001
55.230.55.181.,2003,0.38519,0,5.19429899,5.140948933,10.27962379,12.12164449,183807.5355,4.323444141,0.258249593,0.094811859,0.976009013
55.230.55.181.,2007,0.350282486,0,5.581002922,6.702379085,10.40964948,12.51344249,271968.7608,3.788457358,0.245685879,0.208826945,0.999473762
55.230.55.181.,2011,0.310606061,0,5.833170462,6.954546626,10.30566465,12.6702212,318131.8498,8.683694508,0.338640486,0.155859043,0.948564795
55.231.55.120.,2003,0.30544,0,6.273089925,2.703181317,10.18904312,12.17727593,194322.792,3.072685881,0.080144487,0.09465552,0.879521635
55.231.55.120.,2007,0.222222222,0,6.166454774,2.902853298,10.17306382,12.57250503,288515.7707,6.071138923,0.187868917,0.10274948,0.931255086
55.231.55.120.,2011,0.207171315,0,6.09973912,2.557290009,10.42798377,12.84552522,379088.5961,2.5622e-4,0.122032328,0.019545406,0.985064591
55.232.55.122.,2003,0.19565,0,6.540167231,3.504954074,10.04164963,12.07377189,175215.4938,2.63379228,0.057847927,0.136650954,0.816256634
55.232.55.122.,2007,0.164948454,0,6.250525705,2.916766509,10.17589176,12.64611985,310556.1018,9.644320156,0.081172926,0.103378441,0.853228418
55.232.55.122.,2011,0.07960199,1,6.24195834,2.908199143,10.42213081,12.84539736,379040.1295,8.496025783,0.117451481,0.07062107,0.860707796
55.233.55.184.,2003,0.18782,0,6.110266087,2.749359598,10.15847577,12.00393826,163397.0254,4.394893616,0.150096301,0.104845115,0.879332397
55.233.55.184.,2007,0.153284672,0,6.182538085,3.683700039,10.22696373,12.39082499,240584.0998,2.132638292,0.167700653,0.112239166,0.90575908
55.233.55.184.,2011,0.130434783,1,6.196776884,3.203599349,10.32410389,12.58239295,291382.7421,0.551672151,0.160295028,0.109788403,0.797351936
55.234.55.186.,2003,0.20812,0,6.54810626,3.45323451,10.05825432,12.29801796,219260.9746,4.256509617,0.135437448,0.192565335,0.86224241
55.234.55.186.,2007,0.276243094,0,6.680515881,4.102348846,10.23490482,12.67720669,320361.9365,3.489142403,0.2062734,0.116719878,0.831237614
55.234.55.186.,2011,0.192468619,0,6.627740568,3.264127621,10.31834294,12.99400011,439766.9072,2.857408047,0.246798655,0.069699986,0.87289431
55.235.55.186.,2003,0.14286,0,6.497700856,3.638116714,10.29098239,12.21307837,201406.0653,3.385751133,0.129996533,0.09569837,0.922518155
55.235.55.186.,2007,0.162790698,0,6.576295825,3.41925089,10.33667615,12.5967494,295596.1367,3.194224341,0.154911364,0.158886394,0.908680824
55.235.55.186.,2011,0.192468619,0,6.575274518,3.211661571,10.28596254,12.86223705,385477.0952,2.388512137,0.131188772,0.068466884,0.807429142
58.001.58.1.,2003,0.33862,0,6.013337631,2.204323351,10.13126342,11.6037809,109511.0677,19.26467985,0.045107827,0.055821894,0.940718312
58.001.58.1.,2007,0.30625,0,6.303594538,2.697391789,9.74997564,11.99428735,161827.6803,5.253293133,0.115622107,0.110916708,0.930202661
58.001.58.1.,2011,0.294117647,0,6.338546422,2.732343966,10.12659374,12.49152397,266072.4631,0.002291597,0.103193323,0.092990894,0.935341287
58.002.58.2.,2003,0.36287,0,5.316598669,2.470086318,9.719332933,11.69113761,119507.8822,11.24238673,0.047097005,0.072326482,0.914513085
58.002.58.2.,2007,0.39,0,5.289063058,2.972511754,10.11322251,12.27353482,213957.9583,5.021111204,0.137833526,0.199261731,0.905641018
58.002.58.2.,2011,0.333333333,0,5.408637872,3.09208643,10.32134977,12.58461047,292029.6061,1.886999368,0.080960067,0.073147308,0.94226375
58.003.58.3.,2003,0.37165,0,6.478752913,2.664429788,9.795621684,11.7852637,131303.1039,8.629527378,0.061545013,0.066425661,0.892255176
58.003.58.3.,2007,0.357142857,0,6.557320043,2.763689774,10.24435947,12.30195136,220125.1132,4.64211447,0.139587345,0.117629704,0.895233807
58.003.58.3.,2011,0.301369863,0,6.636882826,2.843252559,10.07973379,12.69007626,324511.5013,5.043595306,0.1005387,0.051298836,0.93835156
58.004.58.4.,2003,0.44643,0,6.317326038,2.348282255,9.995589561,11.6871257,119029.3883,12.02057168,0.063247572,0.082582172,0.951318515
58.004.58.4.,2007,0.380090498,0,6.475991324,2.672785776,10.08770549,12.11349677,182316.0081,5.56328449,0.115911538,0.106348135,0.934494957
